state,winner,total_votes ,reagan_1984,percent_of_votes_reagan,ev_reagan,mondale_1984,percent_of_votes_mondale,ev_mondale ,,,,,,,,,
Alabama,reagan,"1,441,713","872,849",60.5,9,"551,899",38.3,,,,,,,,,,
Alaska,reagan,"207,605","138,377",66.7,3,"62,007",29.9,,,,,,,,,,
Arizona,reagan,"1,025,897","681,416",66.4,7,"333,854",32.5,,,,,,,,,,
Arkansas,reagan,"884,406","534,774",60.5,6,"338,646",38.3,,,,,,,,,,
California,reagan,"9,505,423","5,467,009",57.5,47,"3,922,519",41.3,,,,,,,,,,
Colorado,reagan,"1,295,380","821,817",63.4,8,"454,975",35.1,,,,,,,,,,
Connecticut,reagan,"1,466,900","890,877",60.7,8,"569,597",38.8,,,,,,,,,,
Delaware,reagan,"254,572","152,190",59.8,3,"101,656",39.9,,,,,,,,,,
District of Columbia ,mondale,"211,288","29,009",13.7,,"180,408",85.4,3,,,,,,,,,
Florida,reagan,"4,180,051","2,730,350",65.3,21,"1,448,816",34.7,,,,,,,,,,
Georgia,reagan,"1,776,120","1,068,722",60.2,12,"706,628",39.8,,,,,,,,,,
Hawaii,reagan,"335,846","185,050",55.1,4,"147,154",43.8,,,,,,,,,,
Idaho,reagan,"411,144","297,523",72.4,4,"108,510",26.4,,,,,,,,,,
Illinois,reagan,"4,819,088","2,707,103",56.2,24,"2,086,499",43.3,,,,,,,,,,
Indiana,reagan,"2,233,069","1,377,230",61.7,12,"841,481",37.7,,,,,,,,,,
Iowa,reagan,"1,319,805","703,088",53.3,8,"605,620",45.9,,,,,,,,,,
Kansas,reagan,"1,021,991","677,296",66.3,7,"333,149",32.6,,,,,,,,,,
Kentucky,reagan,"1,369,345","821,702",60,9,"539,539",39.4,,,,,,,,,,
Louisiana,reagan,"1,706,822","1,037,299",60.8,10,"651,586",38.2,,,,,,,,,,
Maine,reagan,"553,144","336,500",60.8,4,"214,515",38.8,,,,,,,,,,
Maryland,reagan,"1,675,873","879,918",52.5,10,"787,935",47,,,,,,,,,,
Massachusetts,reagan,"2,559,453","1,310,936",51.2,13,"1,239,606",48.4,,,,,,,,,,
Michigan,reagan,"3,801,658","2,251,571",59.2,20,"1,529,638",40.2,,,,,,,,,,
Minnesota,mondale,"2,084,449","1,032,603",49.5,,"1,036,364",49.7,10,,,,,,,,,
Mississippi,reagan,"941,104","582,377",61.9,7,"352,192",37.4,,,,,,,,,,
Missouri,reagan,"2,122,783","1,274,188",60,11,"848,583",40,,,,,,,,,,
Montana,reagan,"384,377","232,450",60.5,4,"146,742",38.2,,,,,,,,,,
Nebraska,reagan,"652,090","460,054",70.6,5,"187,866",28.8,,,,,,,,,,
Nevada,reagan,"286,667","188,770",65.8,4,"91,655",32,,,,,,,,,,
New Hampshire,reagan,"389,066","267,051",68.6,4,"120,395",30.9,,,,,,,,,,
New Jersey,reagan,"3,217,862","1,933,630",60.1,16,"1,261,323",39.2,,,,,,,,,,
New Mexico,reagan,"514,370","307,101",59.7,5,"201,769",39.2,,,,,,,,,,
New York,reagan,"6,806,810","3,664,763",53.8,36,"3,119,609",45.8,,,,,,,,,,
North Carolina,reagan,"2,175,361","1,346,481",61.9,13,"824,287",37.9,,,,,,,,,,
North Dakota,reagan,"308,971","200,336",64.8,3,"104,429",33.8,,,,,,,,,,
Ohio,reagan,"4,547,619","2,678,560",58.9,23,"1,825,440",40.1,,,,,,,,,,
Oklahoma,reagan,"1,255,676","861,530",68.6,8,"385,080",30.7,,,,,,,,,,
Oregon,reagan,"1,226,527","685,700",55.9,7,"536,479",43.7,,,,,,,,,,
Pennsylvania,reagan,"4,844,903","2,584,323",53.3,25,"2,228,131",46,,,,,,,,,,
Rhode Island,reagan,"410,492","212,080",51.7,4,"197,106",48,,,,,,,,,,
South Carolina,reagan,"968,529","615,539",63.6,8,"344,459",35.6,,,,,,,,,,
South Dakota,reagan,"317,867","200,267",63,3,"116,113",36.5,,,,,,,,,,
Tennessee,reagan,"1,711,994","990,212",57.8,11,"711,714",41.6,,,,,,,,,,
Texas,reagan,"5,397,571","3,433,428",63.6,29,"1,949,276",36.1,,,,,,,,,,
Utah,reagan,"629,656","469,105",74.5,5,"155,369",24.7,,,,,,,,,,
Vermont,reagan,"234,561","135,865",57.9,3,"95,730",40.8,,,,,,,,,,
Virginia,reagan,"2,146,635","1,337,078",62.3,12,"796,250",37.1,,,,,,,,,,
Washington,reagan,"1,883,910","1,051,670",55.8,10,"807,352",42.9,,,,,,,,,,
West Virginia,reagan,"735,742","405,483",55.1,6,"328,125",44.6,,,,,,,,,,
Wisconsin,reagan,"2,211,689","1,198,584",54.2,11,"995,740",45,,,,,,,,,,
Wyoming,reagan,"188,968","133,241",70.5,3,"53,370",28.2,,,,,,,,,,
,,,,,,,"188,968",,,,,,,,,,
